modality,contrast,contrast_role,condition_a,condition_b,feature,family,n_dyads_in_pivot,n_valid_a,n_valid_b,n_undef_a,n_undef_b,n_pairs,median_a,median_b,median_a_minus_b,mean_a,mean_b,wilcoxon_stat,p_raw,p_fdr,significant_fdr
ECG,main,main,rest1,trials_concat,mean_synchrony,confirmatory,27,27,27,0,0,27,-0.0013510347944055907,0.05993251108633634,-0.10174199001327955,0.006994882825239631,0.07527232513957545,103.0,0.038534119725227356,0.048167649656534195,True
ECG,main,main,rest1,trials_concat,peak_amplitude,confirmatory,27,27,27,0,0,27,0.44266682039686944,0.8492962668921497,-0.3615851400454759,0.47963071577769656,0.8388857601280056,0.0,1.4901161193847656e-08,7.450580596923828e-08,True
ECG,main,main,rest1,trials_concat,dwell_time,confirmatory,27,10,27,17,0,10,7.75,14.875,-5.642857142857142,9.05,15.144456826156171,8.0,0.048828125,0.048828125,True
ECG,main,main,rest1,trials_concat,switching_rate,confirmatory,27,27,27,0,0,27,0.0,1.027592768791627,-0.7992388201712655,0.33848417954378224,1.0043344962469607,27.0,9.89986581200485e-05,0.00024749664530012127,True
ECG,main,main,rest1,trials_concat,mean_synchrony,confirmatory,27,27,27,0,0,27,-0.0013510347944055907,0.05993251108633634,-0.10174199001327955,0.006994882825239631,0.07527232513957545,103.0,0.038534119725227356,0.048167649656534195,True
ECG,sensitivity,sensitivity,rest_postblock,trials_concat,mean_synchrony,confirmatory,27,27,27,0,0,27,0.04772461579302979,0.05993251108633634,-0.037852207891786255,0.034172505583514534,0.07527232513957545,106.0,0.046262577176094055,,
ECG,sensitivity,sensitivity,rest_postblock,trials_concat,peak_amplitude,confirmatory,27,27,27,0,0,27,0.6890488139195314,0.8492962668921497,-0.11228744091208442,0.693330355118219,0.8388857601280056,25.0,1.3470649719238281e-05,,
ECG,sensitivity,sensitivity,rest_postblock,trials_concat,dwell_time,confirmatory,27,24,27,3,0,24,11.0,14.875,-1.8125,12.817361111111113,15.144456826156171,106.0,0.21821892261505127,,
ECG,sensitivity,sensitivity,rest_postblock,trials_concat,switching_rate,confirmatory,27,27,27,0,0,27,0.7045009784735812,1.027592768791627,-0.4372687646282267,0.5609915198956296,1.0043344962469607,33.0,0.00017793733616466894,,
ECG,sensitivity,sensitivity,rest_postblock,trials_concat,mean_synchrony,confirmatory,27,27,27,0,0,27,0.04772461579302979,0.05993251108633634,-0.037852207891786255,0.034172505583514534,0.07527232513957545,106.0,0.046262577176094055,,
ECG,reference,reference,rest1,rest_postblock,mean_synchrony,confirmatory,27,27,27,0,0,27,-0.0013510347944055907,0.04772461579302979,-0.008525997764096245,0.006994882825239631,0.034172505583514534,156.0,0.44104358553886414,,
ECG,reference,reference,rest1,rest_postblock,peak_amplitude,confirmatory,27,27,27,0,0,27,0.44266682039686944,0.6890488139195314,-0.20795781502288857,0.47963071577769656,0.693330355118219,24.0,1.1354684829711914e-05,,
ECG,reference,reference,rest1,rest_postblock,dwell_time,confirmatory,24,10,24,14,0,10,7.75,11.0,-0.875,9.05,12.817361111111111,20.5,0.501953125,,
ECG,reference,reference,rest1,rest_postblock,switching_rate,confirmatory,27,27,27,0,0,27,0.0,0.7045009784735812,-0.23483365949119372,0.33848417954378224,0.5609915198956296,76.0,0.03397632561043052,,
ECG,reference,reference,rest1,rest_postblock,mean_synchrony,confirmatory,27,27,27,0,0,27,-0.0013510347944055907,0.04772461579302979,-0.008525997764096245,0.006994882825239631,0.034172505583514534,156.0,0.44104358553886414,,
EDA,main,main,rest1,trials_concat,mean_synchrony,confirmatory,30,30,30,0,0,30,0.04462442641812045,0.18625953476166107,-0.18139987290963072,0.02344069640948439,0.1565973695200459,114.0,0.013663241639733315,0.013663241639733315,True
EDA,main,main,rest1,trials_concat,peak_amplitude,confirmatory,30,30,30,0,0,30,0.580322138376635,0.9850772551836863,-0.4092336747492973,0.5504017909734465,0.9623676237398678,2.0,5.587935447692871e-09,2.7939677238464355e-08,True
EDA,main,main,rest1,trials_concat,dwell_time,confirmatory,30,18,30,12,0,18,9.75,27.76298701298701,-14.266666666666667,13.027777777777779,26.86627793502793,22.0,0.00400543212890625,0.00667572021484375,True
EDA,main,main,rest1,trials_concat,switching_rate,confirmatory,30,30,30,0,0,30,0.794701986754967,1.1988582302568984,-0.8300514804569599,0.662251655629139,1.2426260704091345,67.0,0.0006630465873715308,0.001657616468428827,True
EDA,main,main,rest1,trials_concat,mean_synchrony,confirmatory,30,30,30,0,0,30,0.04462442641812045,0.18625953476166107,-0.18139987290963072,0.02344069640948439,0.1565973695200459,114.0,0.013663241639733315,0.013663241639733315,True
EDA,sensitivity,sensitivity,rest_postblock,trials_concat,mean_synchrony,confirmatory,30,30,30,0,0,30,0.187281807352644,0.18625953476166107,0.02501213901881584,0.14890668110551575,0.1565973695200459,226.0,0.9032264724373817,,
EDA,sensitivity,sensitivity,rest_postblock,trials_concat,peak_amplitude,confirmatory,30,30,30,0,0,30,0.9947104748496001,0.9850772551836863,0.003959885589082057,0.9565822423362872,0.9623676237398678,175.0,0.24494642950594425,,
EDA,sensitivity,sensitivity,rest_postblock,trials_concat,dwell_time,confirmatory,30,30,30,0,0,30,29.183333333333334,27.76298701298701,5.875,34.82156565656566,26.86627793502793,136.0,0.047259049490094185,,
EDA,sensitivity,sensitivity,rest_postblock,trials_concat,switching_rate,confirmatory,30,30,30,0,0,30,0.7632093933463796,1.1988582302568984,-0.49111739634790097,0.868884540117417,1.2426260704091345,83.0,0.0021018186700866278,,
EDA,sensitivity,sensitivity,rest_postblock,trials_concat,mean_synchrony,confirmatory,30,30,30,0,0,30,0.187281807352644,0.18625953476166107,0.02501213901881584,0.14890668110551575,0.1565973695200459,226.0,0.9032264724373817,,
EDA,reference,reference,rest1,rest_postblock,mean_synchrony,confirmatory,30,30,30,0,0,30,0.04462442641812045,0.187281807352644,-0.1604857953585564,0.02344069640948439,0.14890668110551575,105.0,0.007612137123942375,,
EDA,reference,reference,rest1,rest_postblock,peak_amplitude,confirmatory,30,30,30,0,0,30,0.580322138376635,0.9947104748496001,-0.413788075693965,0.5504017909734465,0.9565822423362872,3.0,9.313225746154785e-09,,
EDA,reference,reference,rest1,rest_postblock,dwell_time,confirmatory,30,18,30,12,0,18,9.75,29.183333333333334,-21.833333333333336,13.027777777777779,34.82156565656566,9.0,0.00025177001953125,,
EDA,reference,reference,rest1,rest_postblock,switching_rate,confirmatory,30,30,30,0,0,30,0.794701986754967,0.7632093933463796,-0.22589131815295282,0.662251655629139,0.868884540117417,163.0,0.1525566191382098,,
EDA,reference,reference,rest1,rest_postblock,mean_synchrony,confirmatory,30,30,30,0,0,30,0.04462442641812045,0.187281807352644,-0.1604857953585564,0.02344069640948439,0.14890668110551575,105.0,0.007612137123942375,,
RESP,main,main,rest1,trials_concat,mean_synchrony,confirmatory,31,31,31,0,0,31,0.011945209443200409,0.005313733011569137,-0.0023222524155248198,-0.007612359116969649,-0.004144627476996885,240.0,0.8848088048398495,0.8848088048398495,False
RESP,main,main,rest1,trials_concat,peak_amplitude,confirmatory,31,31,31,0,0,31,0.3620246188640399,0.6235406658409433,-0.225315919981123,0.38338318354810347,0.6052387932139272,37.0,5.317851901054382e-06,2.658925950527191e-05,True
RESP,main,main,rest1,trials_concat,dwell_time,confirmatory,21,6,19,15,2,4,20.75,12.25,8.75,18.083333333333332,12.50701754385965,2.0,0.375,0.625,False
RESP,main,main,rest1,trials_concat,switching_rate,confirmatory,31,31,31,0,0,31,0.0,0.11417697431018078,0.0,0.15381328775902586,0.22651238451858446,80.0,0.21654625019040752,0.5413656254760189,False
RESP,main,main,rest1,trials_concat,mean_synchrony,confirmatory,31,31,31,0,0,31,0.011945209443200409,0.005313733011569137,-0.0023222524155248198,-0.007612359116969649,-0.004144627476996885,240.0,0.8848088048398495,0.8848088048398495,False
RESP,sensitivity,sensitivity,rest_postblock,trials_concat,mean_synchrony,confirmatory,31,31,31,0,0,31,0.00578630791807294,0.005313733011569137,0.006671533955879483,0.0006190788834676033,-0.004144627476996885,232.0,0.7645525922998786,,
RESP,sensitivity,sensitivity,rest_postblock,trials_concat,peak_amplitude,confirmatory,31,31,31,0,0,31,0.5096807089644146,0.6235406658409433,-0.0468286316965138,0.52549294757423,0.6052387932139272,127.0,0.016678825952112675,,
RESP,sensitivity,sensitivity,rest_postblock,trials_concat,dwell_time,confirmatory,22,12,19,10,3,9,10.083333333333332,12.25,-0.5333333333333332,10.263888888888888,12.507017543859652,19.0,0.734375,,
RESP,sensitivity,sensitivity,rest_postblock,trials_concat,switching_rate,confirmatory,31,31,31,0,0,31,0.0,0.11417697431018078,0.0,0.16286850577615047,0.22651238451858446,102.0,0.42594890866423296,,
RESP,sensitivity,sensitivity,rest_postblock,trials_concat,mean_synchrony,confirmatory,31,31,31,0,0,31,0.00578630791807294,0.005313733011569137,0.006671533955879483,0.0006190788834676033,-0.004144627476996885,232.0,0.7645525922998786,,
RESP,reference,reference,rest1,rest_postblock,mean_synchrony,confirmatory,31,31,31,0,0,31,0.011945209443200409,0.00578630791807294,0.008288514510792294,-0.007612359116969649,0.0006190788834676033,224.0,0.6495812004432082,,
RESP,reference,reference,rest1,rest_postblock,peak_amplitude,confirmatory,31,31,31,0,0,31,0.3620246188640399,0.5096807089644146,-0.19515116280784126,0.38338318354810347,0.52549294757423,84.0,0.0008311951532959938,,
RESP,reference,reference,rest1,rest_postblock,dwell_time,confirmatory,16,6,12,10,4,2,20.75,10.083333333333332,16.0,18.083333333333332,10.263888888888888,,,,
RESP,reference,reference,rest1,rest_postblock,switching_rate,confirmatory,31,31,31,0,0,31,0.0,0.0,0.0,0.15381328775902586,0.16286850577615047,67.0,0.9585944992876271,,
RESP,reference,reference,rest1,rest_postblock,mean_synchrony,confirmatory,31,31,31,0,0,31,0.011945209443200409,0.00578630791807294,0.008288514510792294,-0.007612359116969649,0.0006190788834676033,224.0,0.6495812004432082,,
