dyad_label,modality,condition_unit,reason,meta
pce01,ECG,rest1,incomplete (inventory or duration floor),"{'p1_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Rest1.mat'], 'p2_segment_paths': [], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Rest', 'segment_indices': [1], 'alignment_ok': True}"
pce01,ECG,rest_postblock,incomplete (inventory or duration floor),"{'p1_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Rest2.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Rest3.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Rest4.mat'], 'p2_segment_paths': [], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Rest', 'segment_indices': [2, 3, 4], 'alignment_ok': True}"
pce01,ECG,trials_concat,incomplete (inventory or duration floor),"{'p1_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial1.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial2.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial3.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial4.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial5.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial6.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial7.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial8.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial9.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial10.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial11.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial12.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial13.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial14.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial15.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial16.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial17.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce01230807\\pce01_P1_Trial18.mat'], 'p2_segment_paths': [], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Trial', 'segment_indices': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'alignment_ok': True}"
pce01,EDA,rest1,incomplete (inventory or duration floor),"{'p1_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Rest1.mat'], 'p2_segment_paths': [], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Rest', 'segment_indices': [1], 'alignment_ok': True}"
pce01,EDA,rest_postblock,incomplete (inventory or duration floor),"{'p1_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Rest2.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Rest3.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Rest4.mat'], 'p2_segment_paths': [], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Rest', 'segment_indices': [2, 3, 4], 'alignment_ok': True}"
pce01,EDA,trials_concat,incomplete (inventory or duration floor),"{'p1_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial1.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial2.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial3.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial4.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial5.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial6.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial7.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial8.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial9.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial10.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial11.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial12.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial13.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial14.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial15.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial16.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial17.mat', '<OSF_ROOT>\\Lerique-47n3p\\EDA\\pce01230807\\pce01_P1_Trial18.mat'], 'p2_segment_paths': [], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Trial', 'segment_indices': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'alignment_ok': True}"
pce24,ECG,rest1,incomplete (inventory or duration floor),"{'p1_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Rest1.mat'], 'p2_segment_paths': [], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Rest', 'segment_indices': [1], 'alignment_ok': True}"
pce24,ECG,rest_postblock,incomplete (inventory or duration floor),"{'p1_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Rest2.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Rest3.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Rest4.mat'], 'p2_segment_paths': [], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Rest', 'segment_indices': [2, 3, 4], 'alignment_ok': True}"
pce24,ECG,trials_concat,incomplete (inventory or duration floor),"{'p1_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial1.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial2.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial3.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial4.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial5.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial6.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial7.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial8.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial9.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial10.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial11.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial12.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial13.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial14.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial15.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial16.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial17.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce24231107\\pce24_P1_Trial18.mat'], 'p2_segment_paths': [], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Trial', 'segment_indices': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'alignment_ok': True}"
pce26,ECG,rest1,incomplete (inventory or duration floor),"{'p1_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Rest1.mat'], 'p2_segment_paths': [], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Rest', 'segment_indices': [1], 'alignment_ok': True}"
pce26,ECG,rest_postblock,incomplete (inventory or duration floor),"{'p1_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Rest2.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Rest3.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Rest4.mat'], 'p2_segment_paths': [], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Rest', 'segment_indices': [2, 3, 4], 'alignment_ok': True}"
pce26,ECG,trials_concat,incomplete (inventory or duration floor),"{'p1_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial1.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial2.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial3.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial4.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial5.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial6.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial7.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial8.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial9.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial10.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial11.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial12.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial13.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial14.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial15.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial16.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial17.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce26231121\\pce26_P1_Trial18.mat'], 'p2_segment_paths': [], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Trial', 'segment_indices': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'alignment_ok': True}"
pce32,ECG,rest1,incomplete (inventory or duration floor),"{'p1_segment_paths': [], 'p2_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Rest1.mat'], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Rest', 'segment_indices': [1], 'alignment_ok': True}"
pce32,ECG,rest_postblock,incomplete (inventory or duration floor),"{'p1_segment_paths': [], 'p2_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Rest2.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Rest3.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Rest4.mat'], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Rest', 'segment_indices': [2, 3, 4], 'alignment_ok': True}"
pce32,ECG,trials_concat,incomplete (inventory or duration floor),"{'p1_segment_paths': [], 'p2_segment_paths': ['<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial1.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial2.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial3.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial4.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial5.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial6.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial7.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial8.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial9.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial10.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial11.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial12.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial13.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial14.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial15.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial16.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial17.mat', '<OSF_ROOT>\\Lerique-47n3p\\ECG\\pce32230804\\pce32_P2_Trial18.mat'], 'preprocessed': True, 'raw_fs_hz': 1000.0, 'cond_class': 'Trial', 'segment_indices': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'alignment_ok': True}"
